id_transaksi,tanggal_pencairan,provinsi,jenis_pinjaman,status_peminjam,jumlah_pinjaman,total_pengembalian,durasi_hari,porsi_pengembalian_lender,sektor_usaha,pendidikan,jenis_jaminan,status_gagal_bayar
17,2023-08-15,Jawa Timur,Modal_Usaha,Peminjam_Berulang,531000.0,550000.0,7.0,0.0,Manufaktur,SMA,Sertifikat,0
18,2023-09-29,DKI Jakarta,Modal_Usaha,Peminjam_Berulang,269000.0,279000.0,7.0,,Manufaktur,S2,SK_Pegawai,0
19,2025-08-21,Jawa Tengah,Mikro_UKM,Peminjam_Berulang,563000.0,617000.0,7.0,123000.0,Jasa,S1,Sertifikat,1
20,2023-07-23,DKI Jakarta,Modal_Usaha,Peminjam_Berulang,297000.0,299000.0,7.0,89000.0,Kuliner,S1,Tanpa_Jaminan,0
21,2025-01-17,Jawa Tengah,Multiguna,Peminjam_Berulang,6052000.0,6778000.0,60.0,1694000.0,Manufaktur,SMA,Sertifikat,0
22,2023-08-08,Jawa Timur,Modal_Usaha,Peminjam_Berulang,1027000.0,1058000.0,7.0,317000.0,Digital,S1,Tanpa_Jaminan,0
23,2023-09-05,Jawa Tengah,Modal_Usaha,Peminjam_Berulang,673000.0,673000.0,7.0,202000.0,Pertanian,S1,Sertifikat,0
24,2023-02-16,Jawa Tengah,,Peminjam_Baru,82000.0,128000.0,30.0,25000.0,Pertanian,S1,SK_Pegawai,1
25,2023-07-21,Jawa Timur,Modal_Usaha,Peminjam_Berulang,1101000.0,1101000.0,7.0,330000.0,Perdagangan,D3,SK_Pegawai,0
26,2023-11-05,DKI Jakarta,Modal_Usaha,Peminjam_Berulang,439000.0,440000.0,7.0,0.0,Jasa,SMA,BPKB,0
27,2025-07-20,DKI Jakarta,Mikro_UKM,Peminjam_Berulang,150000.0,155000.0,7.0,31000.0,Manufaktur,S1,SK_Pegawai,0
28,2023-08-20,Jawa Barat,Modal_Usaha,Peminjam_Berulang,348000.0,348000.0,7.0,0.0,Manufaktur,SMA,Sertifikat,0
29,2023-08-22,Jawa Barat,Modal_Usaha,Peminjam_Berulang,323000.0,323000.0,7.0,3000.0,Manufaktur,D3,Sertifikat,0
30,2023-08-09,Jawa Timur,Modal_Usaha,Peminjam_Berulang,729000.0,752000.0,7.0,225000.0,Manufaktur,SMA,Sertifikat,0
31,2023-08-08,Jawa Tengah,Modal_Usaha,Peminjam_Berulang,656000.0,774000.0,7.0,232000.0,Kuliner,SMA,SK_Pegawai,1
32,2023-10-13,Jawa Tengah,Modal_Usaha,Peminjam_Berulang,547000.0,567000.0,7.0,170000.0,Pertanian,SMA,Tanpa_Jaminan,0
33,2023-07-14,DKI Jakarta,Modal_Usaha,Peminjam_Berulang,57000.0,57000.0,7.0,17000.0,Digital,SMA,BPKB,0
34,2023-09-26,Jawa Timur,Modal_Usaha,Peminjam_Berulang,198000.0,198000.0,7.0,,Kuliner,D3,Tanpa_Jaminan,0
35,2023-08-22,Jawa Tengah,Modal_Usaha,Peminjam_Berulang,346000.0,354000.0,7.0,98000.0,Digital,S1,SK_Pegawai,0
36,2023-08-30,Jawa Barat,Modal_Usaha,Peminjam_Berulang,558000.0,562000.0,7.0,120000.0,Jasa,D3,SK_Pegawai,0
37,2023-10-29,Jawa Barat,Modal_Usaha,Peminjam_Berulang,1986000.0,2047000.0,7.0,614000.0,Jasa,D3,Tanpa_Jaminan,0
38,2023-08-19,Jawa Tengah,Modal_Usaha,Peminjam_Berulang,6120000.0,6306000.0,7.0,1892000.0,Jasa,SMA,BPKB,0
39,2023-10-01,Jawa Barat,Modal_Usaha,Peminjam_Berulang,252000.0,262000.0,7.0,0.0,Kuliner,SMA,Sertifikat,0
40,2023-11-01,Jawa Barat,Modal_Usaha,Peminjam_Berulang,509000.0,532000.0,7.0,159000.0,Digital,D3,Sertifikat,0
41,2023-08-20,Jawa Tengah,Modal_Usaha,Peminjam_Berulang,603000.0,,7.0,0.0,Jasa,SMA,SK_Pegawai,0
42,2024-02-01,Jawa Barat,,Peminjam_Berulang,11543000.0,11716000.0,45.0,369000.0,Kuliner,D3,Tanpa_Jaminan,0
43,2023-09-07,DKI Jakarta,Modal_Usaha,Peminjam_Berulang,336000.0,336000.0,7.0,100000.0,Manufaktur,S1,BPKB,0
44,2023-11-25,Jawa Timur,Modal_Usaha,Peminjam_Berulang,1570000.0,1570000.0,7.0,0.0,Manufaktur,D3,SK_Pegawai,0
45,2023-07-27,Jawa Timur,Modal_Usaha,Peminjam_Berulang,518000.0,518000.0,7.0,155000.0,Jasa,SMA,Tanpa_Jaminan,0
46,2023-07-21,DKI Jakarta,Modal_Usaha,Peminjam_Berulang,1235000.0,1235000.0,7.0,,Manufaktur,D3,Sertifikat,0
47,2023-07-20,Jawa Timur,Modal_Usaha,Peminjam_Baru,224000.0,,7.0,85000.0,Kuliner,SMA,BPKB,1
48,2023-07-30,Jawa Barat,Modal_Usaha,Peminjam_Berulang,208000.0,211000.0,7.0,63000.0,Manufaktur,S1,Sertifikat,0
49,2023-08-31,Jawa Barat,Modal_Usaha,Peminjam_Berulang,163000.0,165000.0,7.0,,Jasa,D3,SK_Pegawai,0
50,2023-08-30,Jawa Barat,Modal_Usaha,Peminjam_Berulang,491000.0,495000.0,7.0,149000.0,Digital,D3,Sertifikat,0
51,2023-10-22,Jawa Timur,Modal_Usaha,Peminjam_Berulang,126000.0,128000.0,7.0,13000.0,Manufaktur,S1,BPKB,0
52,2023-08-17,Jawa Barat,Modal_Usaha,Peminjam_Berulang,392000.0,395000.0,7.0,,Pertanian,D3,BPKB,0
53,2023-07-19,Jawa Barat,Modal_Usaha,Peminjam_Berulang,1814000.0,1814000.0,7.0,544000.0,Perdagangan,SMA,BPKB,0
54,2023-10-05,DKI Jakarta,Modal_Usaha,Peminjam_Berulang,913000.0,913000.0,,274000.0,Perdagangan,S1,BPKB,0
55,2023-11-02,Jawa Tengah,Modal_Usaha,Peminjam_Berulang,960000.0,960000.0,7.0,0.0,Perdagangan,SMA,Tanpa_Jaminan,0
56,2023-09-03,DKI Jakarta,Modal_Usaha,Peminjam_Berulang,310000.0,310000.0,7.0,0.0,Perdagangan,SMA,Sertifikat,0
57,2023-07-21,DKI Jakarta,Modal_Usaha,Peminjam_Berulang,768000.0,768000.0,,230000.0,Digital,S1,Tanpa_Jaminan,0
58,2023-10-27,DKI Jakarta,Modal_Usaha,Peminjam_Berulang,51000.0,,7.0,15000.0,Kuliner,S1,BPKB,0
59,2023-09-10,Jawa Barat,Modal_Usaha,Peminjam_Berulang,1436000.0,1454000.0,7.0,,Kuliner,SMA,Tanpa_Jaminan,0
60,2025-07-02,DKI Jakarta,Mikro_UKM,Peminjam_Baru,571000.0,720000.0,7.0,,Perdagangan,S1,BPKB,1
61,2023-10-20,Jawa Timur,Modal_Usaha,Peminjam_Berulang,227000.0,229000.0,-1.0,68000.0,Jasa,SMA,SK_Pegawai,0
62,2023-11-17,Jawa Tengah,Modal_Usaha,Peminjam_Berulang,1709000.0,1761000.0,7.0,6000.0,Jasa,D3,BPKB,0
63,2023-11-21,DKI Jakarta,Modal_Usaha,Peminjam_Berulang,227000.0,227000.0,7.0,68000.0,Digital,S1,Tanpa_Jaminan,0
64,2023-09-06,DKI Jakarta,Modal_Usaha,Peminjam_Berulang,800000.0,800000.0,7.0,240000.0,Jasa,D3,BPKB,0
65,2023-07-14,Jawa Timur,Modal_Usaha,Peminjam_Berulang,365000.0,365000.0,7.0,109000.0,Digital,SMA,BPKB,0
66,2023-10-03,Jawa Timur,Modal_Usaha,Peminjam_Berulang,368000.0,381000.0,,0.0,Manufaktur,D3,BPKB,0
67,2023-09-19,DKI Jakarta,Modal_Usaha,Peminjam_Berulang,627000.0,634000.0,7.0,190000.0,Digital,S1,Tanpa_Jaminan,0
68,2023-09-17,Jawa Timur,Modal_Usaha,Peminjam_Berulang,577000.0,598000.0,7.0,0.0,Manufaktur,S1,Sertifikat,0
69,2023-09-20,Jawa Timur,Modal_Usaha,Peminjam_Berulang,5376000.0,5740000.0,7.0,0.0,Kuliner,S1,Sertifikat,0
70,2023-09-28,Jawa Tengah,Modal_Usaha,Peminjam_Berulang,812000.0,837000.0,7.0,251000.0,Kuliner,S2,SK_Pegawai,0
71,2023-07-18,Jawa Timur,Modal_Usaha,Peminjam_Berulang,53000.0,,7.0,16000.0,Perdagangan,SMA,Tanpa_Jaminan,0
72,2023-08-27,Jawa Tengah,Modal_Usaha,Peminjam_Berulang,194000.0,198000.0,7.0,59000.0,Perdagangan,SMA,SK_Pegawai,0
73,2023-09-07,DKI Jakarta,Modal_Usaha,Peminjam_Berulang,291000.0,291000.0,7.0,87000.0,Manufaktur,D3,Sertifikat,0
74,2023-08-30,DKI Jakarta,Modal_Usaha,Peminjam_Berulang,132000.0,132000.0,7.0,39000.0,Jasa,SMA,SK_Pegawai,0
75,2023-07-25,DKI Jakarta,Modal_Usaha,Peminjam_Berulang,1311000.0,1311000.0,7.0,,Jasa,D3,Tanpa_Jaminan,0
76,2023-08-18,DKI Jakarta,Modal_Usaha,Peminjam_Berulang,1250000.0,1289000.0,7.0,81000.0,Perdagangan,S1,SK_Pegawai,0
77,2023-10-06,Jawa Timur,Modal_Usaha,Peminjam_Berulang,263000.0,263000.0,7.0,79000.0,Perdagangan,SMA,BPKB,0
78,2023-10-08,Jawa Barat,Modal_Usaha,Peminjam_Berulang,11777000.0,11991000.0,7.0,,Jasa,D3,SK_Pegawai,0
79,2023-11-07,Jawa Timur,Modal_Usaha,Peminjam_Berulang,630000.0,630000.0,7.0,189000.0,Pertanian,D3,Sertifikat,0
80,2023-08-27,DKI Jakarta,Modal_Usaha,Peminjam_Berulang,2125000.0,2125000.0,7.0,0.0,Jasa,SMA,SK_Pegawai,0
81,2023-08-23,Jawa Timur,Modal_Usaha,Peminjam_Berulang,1608000.0,2199000.0,7.0,659000.0,Manufaktur,D3,SK_Pegawai,1
82,2023-09-09,Jawa Timur,Modal_Usaha,Peminjam_Berulang,601000.0,620000.0,7.0,84000.0,Digital,SMA,Tanpa_Jaminan,0
83,2025-07-09,Jawa Timur,Mikro_UKM,Peminjam_Berulang,534000.0,553000.0,7.0,110000.0,Pertanian,SMA,Tanpa_Jaminan,0
84,2023-07-13,DKI Jakarta,Modal_Usaha,Peminjam_Berulang,1959000.0,2011000.0,7.0,603000.0,Kuliner,S1,SK_Pegawai,0
85,2023-08-08,Jawa Timur,Modal_Usaha,Peminjam_Berulang,8462000.0,8719000.0,7.0,2615000.0,Kuliner,SMA,Tanpa_Jaminan,0
86,2023-07-12,Jawa Tengah,Modal_Usaha,Peminjam_Berulang,599000.0,599000.0,7.0,299000.0,Digital,SMA,SK_Pegawai,0
87,2023-07-16,Jawa Timur,Modal_Usaha,Peminjam_Berulang,864000.0,,7.0,259000.0,Kuliner,S2,SK_Pegawai,0
88,2023-09-03,Jawa Barat,Modal_Usaha,Peminjam_Berulang,326000.0,326000.0,7.0,,Kuliner,SMA,SK_Pegawai,0
89,2023-10-08,Jawa Timur,Modal_Usaha,Peminjam_Berulang,480000.0,491000.0,,0.0,Pertanian,D3,BPKB,0
90,2023-09-20,Jawa Timur,Modal_Usaha,Peminjam_Berulang,275000.0,275000.0,7.0,0.0,Kuliner,S1,BPKB,0
91,2023-07-16,Jawa Barat,Modal_Usaha,Peminjam_Berulang,421000.0,427000.0,7.0,128000.0,Digital,SMA,Sertifikat,0
92,2023-10-18,Jawa Timur,Modal_Usaha,Peminjam_Berulang,70000.0,70000.0,7.0,,Pertanian,S1,Sertifikat,0
93,2024-09-09,Jawa Tengah,Multiguna,Peminjam_Berulang,4515000.0,,60.0,1201000.0,Jasa,SMA,BPKB,1
94,2023-10-27,Jawa Barat,Modal_Usaha,Peminjam_Berulang,416000.0,419000.0,7.0,125000.0,Digital,SMA,BPKB,0
95,2023-08-17,Jawa Barat,Modal_Usaha,Peminjam_Berulang,1174000.0,1203000.0,7.0,,Pertanian,D3,Tanpa_Jaminan,0
96,2023-09-03,Jawa Timur,Modal_Usaha,Peminjam_Berulang,2456000.0,2531000.0,7.0,759000.0,Pertanian,D3,Tanpa_Jaminan,0
97,2023-10-12,Jawa Tengah,Modal_Usaha,Peminjam_Berulang,23000.0,23000.0,7.0,0.0,Pertanian,D3,BPKB,0
98,2023-11-03,Jawa Timur,Modal_Usaha,Peminjam_Berulang,1793000.0,1793000.0,7.0,0.0,Digital,D3,BPKB,0
99,2023-10-20,Jawa Tengah,Modal_Usaha,Peminjam_Berulang,304000.0,313000.0,7.0,94000.0,Jasa,SMA,Sertifikat,0
100,2025-11-12,Jawa Barat,Mikro_UKM,Peminjam_Berulang,824000.0,853000.0,7.0,142000.0,Manufaktur,S1,BPKB,0
101,2023-11-12,DKI Jakarta,Modal_Usaha,Peminjam_Berulang,137000.0,139000.0,,0.0,Pertanian,D3,BPKB,0
102,2023-11-07,Jawa Tengah,Modal_Usaha,Peminjam_Berulang,3447000.0,3551000.0,7.0,1065000.0,Manufaktur,SMA,Sertifikat,0
103,2023-09-13,Jawa Timur,Modal_Usaha,Peminjam_Berulang,555000.0,555000.0,7.0,0.0,Perdagangan,SMA,BPKB,0
104,2023-08-20,Jawa Tengah,Modal_Usaha,Peminjam_Berulang,27000.0,29000.0,7.0,8000.0,Kuliner,SMA,BPKB,0
105,2023-11-19,DKI Jakarta,Modal_Usaha,Peminjam_Berulang,393000.0,,7.0,118000.0,Pertanian,SMA,Tanpa_Jaminan,0
106,2023-03-07,Jawa Tengah,Investasi,Peminjam_Berulang,1677000.0,1774000.0,14.0,,Kuliner,S2,BPKB,0
107,2023-10-17,Jawa Timur,Modal_Usaha,Peminjam_Berulang,163000.0,169000.0,7.0,,Jasa,SMA,Sertifikat,0
108,2023-08-15,Jawa Tengah,Modal_Usaha,Peminjam_Berulang,283000.0,283000.0,7.0,85000.0,Manufaktur,D3,Tanpa_Jaminan,0
109,2023-11-18,Jawa Barat,Modal_Usaha,Peminjam_Berulang,52000.0,52000.0,7.0,15000.0,Perdagangan,SMA,Tanpa_Jaminan,0
110,2023-09-01,DKI Jakarta,Modal_Usaha,Peminjam_Berulang,260000.0,260000.0,7.0,0.0,Digital,SMA,SK_Pegawai,0
111,2023-08-04,Jawa Barat,Modal_Usaha,Peminjam_Berulang,3685000.0,3685000.0,7.0,1105000.0,Kuliner,SMA,BPKB,0
112,2023-12-23,Jawa Tengah,Multiguna,Peminjam_Berulang,36591000.0,48323000.0,182.0,,Pertanian,S1,Tanpa_Jaminan,1
113,2023-08-24,Jawa Tengah,Modal_Usaha,Peminjam_Berulang,11524000.0,11668000.0,7.0,3500000.0,Perdagangan,SMA,BPKB,0
114,2023-08-17,DKI Jakarta,Modal_Usaha,Peminjam_Berulang,28000.0,,7.0,8000.0,Jasa,D3,Sertifikat,0
115,2023-09-14,Jawa Timur,Modal_Usaha,Peminjam_Berulang,91000.0,94000.0,7.0,28000.0,Manufaktur,S1,Sertifikat,0
116,2023-11-12,Jawa Barat,Modal_Usaha,Peminjam_Berulang,321000.0,321000.0,7.0,,Digital,SMA,Sertifikat,0
117,2023-07-14,Jawa Timur,Modal_Usaha,Peminjam_Berulang,508000.0,508000.0,7.0,152000.0,Manufaktur,D3,BPKB,0
118,2023-10-12,Jawa Tengah,Modal_Usaha,Peminjam_Baru,170000.0,175000.0,7.0,,Perdagangan,SMA,BPKB,0
119,2023-11-11,Jawa Timur,Modal_Usaha,Peminjam_Berulang,470000.0,486000.0,7.0,0.0,Manufaktur,SMA,BPKB,0
120,2023-10-25,Jawa Tengah,Modal_Usaha,Peminjam_Berulang,180000.0,183000.0,7.0,54000.0,Jasa,S1,BPKB,0
121,2023-11-14,Jawa Timur,Modal_Usaha,Peminjam_Berulang,1363000.0,1404000.0,7.0,421000.0,Perdagangan,D3,SK_Pegawai,0
122,2023-09-08,Jawa Timur,Modal_Usaha,Peminjam_Berulang,3553000.0,3553000.0,7.0,1065000.0,Kuliner,S1,Sertifikat,0
123,2023-09-17,Jawa Tengah,Modal_Usaha,Peminjam_Berulang,353000.0,364000.0,7.0,0.0,Jasa,S1,SK_Pegawai,0
124,2023-08-16,Jawa Tengah,Modal_Usaha,Peminjam_Berulang,286000.0,286000.0,7.0,86000.0,Pertanian,D3,SK_Pegawai,0
125,2023-10-22,Jawa Tengah,Modal_Usaha,Peminjam_Berulang,5917000.0,5952000.0,7.0,1785000.0,Pertanian,SMA,SK_Pegawai,0
126,2023-08-20,DKI Jakarta,Modal_Usaha,Peminjam_Berulang,111000.0,115000.0,7.0,34000.0,Kuliner,S2,BPKB,0
127,2023-11-29,Jawa Timur,Investasi,Peminjam_Berulang,2829000.0,2983000.0,14.0,397000.0,Jasa,SMA,Tanpa_Jaminan,0
128,2023-10-24,Jawa Barat,Modal_Usaha,Peminjam_Berulang,1194000.0,1229000.0,7.0,,Kuliner,SMA,BPKB,0
129,2023-10-18,Jawa Tengah,Modal_Usaha,Peminjam_Berulang,515000.0,515000.0,7.0,0.0,Digital,S1,SK_Pegawai,0
130,2023-08-22,Jawa Tengah,Modal_Usaha,Peminjam_Berulang,451000.0,454000.0,7.0,80000.0,Kuliner,SMA,SK_Pegawai,0
131,2023-07-16,Jawa Barat,Modal_Usaha,Peminjam_Berulang,597000.0,613000.0,7.0,184000.0,Kuliner,S1,Tanpa_Jaminan,0
132,2023-11-02,DKI Jakarta,Modal_Usaha,Peminjam_Berulang,187000.0,194000.0,7.0,58000.0,Manufaktur,D3,Sertifikat,0
133,2023-09-21,Jawa Timur,Modal_Usaha,Peminjam_Berulang,124000.0,124000.0,7.0,37000.0,Digital,S1,BPKB,0
134,2023-09-07,Jawa Timur,Modal_Usaha,Peminjam_Berulang,1517000.0,1536000.0,,460000.0,Digital,S2,Sertifikat,0
135,2023-07-20,Jawa Tengah,Modal_Usaha,Peminjam_Berulang,403000.0,,7.0,120000.0,Digital,SMA,Tanpa_Jaminan,0
136,2023-09-23,Jawa Barat,Modal_Usaha,Peminjam_Berulang,675000.0,,7.0,12000.0,Pertanian,S1,BPKB,0
137,2023-09-10,Jawa Barat,Modal_Usaha,Peminjam_Berulang,564000.0,580000.0,7.0,174000.0,Kuliner,SMA,BPKB,0
138,2023-10-15,DKI Jakarta,Modal_Usaha,Peminjam_Berulang,1281000.0,1281000.0,7.0,1000.0,Digital,D3,SK_Pegawai,0
139,2023-10-03,Jawa Timur,Modal_Usaha,Peminjam_Berulang,46000.0,46000.0,7.0,0.0,Kuliner,SMA,BPKB,0
140,2023-10-31,DKI Jakarta,Modal_Usaha,Peminjam_Berulang,128000.0,,7.0,38000.0,Manufaktur,SMA,SK_Pegawai,0
141,2023-07-25,DKI Jakarta,Modal_Usaha,Peminjam_Berulang,11724000.0,11724000.0,7.0,3517000.0,Pertanian,SMA,SK_Pegawai,0
142,2023-11-21,DKI Jakarta,Modal_Usaha,Peminjam_Berulang,576000.0,597000.0,7.0,,Pertanian,SMA,Tanpa_Jaminan,0
143,2025-08-19,Jawa Tengah,,Peminjam_Berulang,2247000.0,2382000.0,30.0,714000.0,Jasa,SMA,BPKB,0
144,2023-09-16,DKI Jakarta,Modal_Usaha,Peminjam_Berulang,5395000.0,5560000.0,7.0,57000.0,Pertanian,S1,SK_Pegawai,0
145,2023-09-15,Jawa Tengah,Modal_Usaha,Peminjam_Berulang,909000.0,909000.0,7.0,0.0,Manufaktur,SMA,SK_Pegawai,0
146,2023-08-22,Jawa Tengah,Modal_Usaha,Peminjam_Berulang,524000.0,524000.0,7.0,87000.0,Perdagangan,SMA,BPKB,0
147,2023-09-03,Jawa Timur,Modal_Usaha,Peminjam_Berulang,340000.0,350000.0,7.0,105000.0,Jasa,S1,Tanpa_Jaminan,0
148,2023-09-03,Jawa Barat,Modal_Usaha,Peminjam_Berulang,219000.0,224000.0,7.0,0.0,Jasa,S1,SK_Pegawai,0
149,2023-10-21,DKI Jakarta,Modal_Usaha,Peminjam_Berulang,1799000.0,1821000.0,7.0,546000.0,Pertanian,D3,Sertifikat,0
150,2023-09-12,DKI Jakarta,Modal_Usaha,Peminjam_Berulang,269000.0,272000.0,7.0,0.0,Pertanian,SMA,Sertifikat,0
151,2023-09-16,Jawa Timur,Modal_Usaha,Peminjam_Berulang,216000.0,226000.0,7.0,0.0,Jasa,S1,BPKB,0
152,2023-07-22,Jawa Tengah,Modal_Usaha,Peminjam_Berulang,279000.0,279000.0,7.0,83000.0,Digital,SMA,Tanpa_Jaminan,0
153,2023-08-06,Jawa Tengah,Modal_Usaha,Peminjam_Berulang,47000.0,49000.0,7.0,15000.0,Digital,SMA,BPKB,0
154,2023-09-09,Jawa Timur,Modal_Usaha,Peminjam_Berulang,721000.0,721000.0,7.0,216000.0,Digital,D3,SK_Pegawai,0
155,2023-08-31,Jawa Barat,Modal_Usaha,Peminjam_Berulang,561000.0,561000.0,7.0,157000.0,Pertanian,SMA,Tanpa_Jaminan,0
156,2023-10-17,Jawa Barat,Modal_Usaha,Peminjam_Berulang,2758000.0,2835000.0,7.0,850000.0,Pertanian,SMA,Tanpa_Jaminan,0
157,2023-08-25,Jawa Barat,Modal_Usaha,Peminjam_Berulang,377000.0,377000.0,7.0,0.0,Perdagangan,S1,Tanpa_Jaminan,0
158,2023-11-21,Jawa Tengah,,Peminjam_Berulang,1915000.0,1953000.0,7.0,312000.0,Kuliner,SMA,SK_Pegawai,0
159,2023-08-04,Jawa Barat,Modal_Usaha,Peminjam_Berulang,244000.0,251000.0,7.0,75000.0,Digital,S1,Sertifikat,0
160,2023-07-26,DKI Jakarta,Modal_Usaha,Peminjam_Berulang,656000.0,656000.0,7.0,196000.0,Manufaktur,SMA,SK_Pegawai,0
161,2023-10-05,Jawa Tengah,Modal_Usaha,Peminjam_Berulang,503000.0,503000.0,7.0,27000.0,Pertanian,SMA,Tanpa_Jaminan,0
162,2023-09-20,Jawa Tengah,Modal_Usaha,Peminjam_Berulang,2032000.0,2095000.0,7.0,0.0,Digital,D3,Sertifikat,0
163,2023-08-22,DKI Jakarta,Modal_Usaha,Peminjam_Berulang,1408000.0,1408000.0,7.0,0.0,Digital,S2,Sertifikat,0
164,2023-10-05,Jawa Timur,Modal_Usaha,Peminjam_Berulang,5502000.0,5502000.0,7.0,1650000.0,Perdagangan,D3,Sertifikat,0
165,2023-01-05,Jawa Timur,,Peminjam_Berulang,1108000.0,1224000.0,30.0,1224000.0,Manufaktur,S1,Tanpa_Jaminan,1
166,2023-07-28,Jawa Timur,Modal_Usaha,Peminjam_Berulang,182000.0,186000.0,7.0,,Digital,D3,BPKB,0
167,2023-08-04,DKI Jakarta,Modal_Usaha,Peminjam_Berulang,320000.0,322000.0,7.0,96000.0,Jasa,S2,Sertifikat,0
168,2023-09-02,Jawa Timur,Modal_Usaha,Peminjam_Berulang,1854000.0,1876000.0,7.0,198000.0,Jasa,SMA,BPKB,0
169,2023-07-29,DKI Jakarta,Modal_Usaha,Peminjam_Berulang,521000.0,533000.0,7.0,,Pertanian,S1,SK_Pegawai,0
170,2023-09-16,Jawa Barat,Modal_Usaha,Peminjam_Berulang,764000.0,788000.0,7.0,13000.0,Kuliner,SMA,SK_Pegawai,0
171,2023-07-23,DKI Jakarta,Modal_Usaha,Peminjam_Berulang,1566000.0,1566000.0,7.0,469000.0,Jasa,S1,SK_Pegawai,0
172,2023-11-18,Jawa Timur,Modal_Usaha,Peminjam_Berulang,103000.0,107000.0,7.0,32000.0,Manufaktur,SMA,Sertifikat,0
173,2023-09-29,Jawa Timur,Modal_Usaha,Peminjam_Berulang,861000.0,869000.0,7.0,260000.0,Kuliner,SMA,BPKB,0
174,2023-08-05,DKI Jakarta,Modal_Usaha,Peminjam_Berulang,547000.0,547000.0,7.0,164000.0,Digital,SMA,SK_Pegawai,0
175,2023-08-10,Jawa Tengah,Modal_Usaha,Peminjam_Berulang,1068000.0,1068000.0,7.0,320000.0,Perdagangan,SMA,Tanpa_Jaminan,0
176,2023-10-27,Jawa Barat,Modal_Usaha,Peminjam_Berulang,107000.0,111000.0,7.0,33000.0,Digital,D3,Sertifikat,0
177,2023-11-19,DKI Jakarta,Modal_Usaha,Peminjam_Berulang,395000.0,399000.0,7.0,119000.0,Jasa,SMA,BPKB,0
178,2023-11-01,Jawa Barat,Modal_Usaha,Peminjam_Berulang,266000.0,268000.0,7.0,80000.0,Jasa,SMA,Tanpa_Jaminan,0
179,2023-11-04,DKI Jakarta,Modal_Usaha,Peminjam_Berulang,271000.0,271000.0,7.0,81000.0,Perdagangan,SMA,Sertifikat,0
180,2023-09-15,DKI Jakarta,Modal_Usaha,Peminjam_Berulang,378000.0,378000.0,7.0,113000.0,Jasa,D3,Tanpa_Jaminan,0
181,2023-09-22,Jawa Timur,Modal_Usaha,Peminjam_Berulang,1145000.0,1166000.0,7.0,86000.0,Pertanian,SMA,SK_Pegawai,0
182,2023-10-21,Jawa Tengah,Modal_Usaha,Peminjam_Berulang,32000.0,32000.0,7.0,9000.0,Jasa,D3,SK_Pegawai,0
183,2023-08-31,DKI Jakarta,Modal_Usaha,Peminjam_Berulang,794000.0,803000.0,7.0,63000.0,Pertanian,SMA,BPKB,0
